cod_fabrica,cod_venta,descripcion,precio
9921,BI6536CL,Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy,30000
9921,BI6536ZM,Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy,30000
9921,BI6536NG,Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy,30000
10955,BI6537BL,Minifalda Vuelo Elásticada En Cintura 100% Lino Made In Italy,32000
10955,BI6537RS,Minifalda Vuelo Elásticada En Cintura 100% Lino Made In Italy,32000
10955,BI6537TJ,Minifalda Vuelo Elásticada En Cintura 100% Lino Made In Italy,32000
10955,BI6537BD,Minifalda Vuelo Elásticada En Cintura 100% Lino Made In Italy,32000
10955,BI6537BG,Minifalda Vuelo Elásticada En Cintura 100% Lino Made In Italy,32000
10955,BI6537FG,Minifalda Vuelo Elásticada En Cintura 100% Lino Made In Italy,32000
10955,BI6537MG,Minifalda Vuelo Elásticada En Cintura 100% Lino Made In Italy,32000
10955,BI6537CL,Minifalda Vuelo Elásticada En Cintura 100% Lino Made In Italy,32000
10955,BI6537ZM,Minifalda Vuelo Elásticada En Cintura 100% Lino Made In Italy,32000
10955,BI6537NG,Minifalda Vuelo Elásticada En Cintura 100% Lino Made In Italy,32000
10047,BI6538BL,Blusa Sin Mangas Escote V Con Vuelos 100% Lino Made In Italy,30000
10047,BI6538RS,Blusa Sin Mangas Escote V Con Vuelos 100% Lino Made In Italy,30000
10047,BI6538TJ,Blusa Sin Mangas Escote V Con Vuelos 100% Lino Made In Italy,30000
10047,BI6538BD,Blusa Sin Mangas Escote V Con Vuelos 100% Lino Made In Italy,30000
10047,BI6538BG,Blusa Sin Mangas Escote V Con Vuelos 100% Lino Made In Italy,30000
10047,BI6538FG,Blusa Sin Mangas Escote V Con Vuelos 100% Lino Made In Italy,30000
10047,BI6538MG,Blusa Sin Mangas Escote V Con Vuelos 100% Lino Made In Italy,30000
